gene,n_components,isoforma,cetnost_trenovaci,cetnost_generovana
KIR2DL4,2,IIIIIII,0.4,0.35147
KIR2DL4,2,IIIIIIS,0.009523809523809525,0.0571
KIR2DL4,2,IIIISII,0.12380952380952381,0.05605
KIR2DL4,2,IIISIII,0.08571428571428572,0.05716
KIR2DL4,2,IIISSII,0.13333333333333333,0.00886
KIR2DL4,2,IISIIII,0.06666666666666667,0.05621
KIR2DL4,2,IISISII,0.12380952380952381,0.00899
KIR2DL4,2,IISSSII,0.05714285714285714,0.00138
KIR2DL4,4,IIIIIII,0.4,0.38307
KIR2DL4,4,IIIIIIS,0.009523809523809525,0.08031
KIR2DL4,4,IIIISII,0.12380952380952381,0.09327
KIR2DL4,4,IIISIII,0.08571428571428572,0.02946
KIR2DL4,4,IIISSII,0.13333333333333333,0.01764
KIR2DL4,4,IISIIII,0.06666666666666667,0.11653
KIR2DL4,4,IISISII,0.12380952380952381,0.02186
KIR2DL4,4,IISSSII,0.05714285714285714,0.01454
KIR2DL4,6,IIIIIII,0.4,0.39779
KIR2DL4,6,IIIIIIS,0.009523809523809525,0.00636
KIR2DL4,6,IIIISII,0.12380952380952381,0.16712
KIR2DL4,6,IIISIII,0.08571428571428572,0.06383
KIR2DL4,6,IIISSII,0.13333333333333333,0.11374
KIR2DL4,6,IISIIII,0.06666666666666667,0.05449
KIR2DL4,6,IISISII,0.12380952380952381,0.09293
KIR2DL4,6,IISSSII,0.05714285714285714,0.064
KIR2DL4,8,IIIIIII,0.4,0.36936
KIR2DL4,8,IIIIIIS,0.009523809523809525,0.04963
KIR2DL4,8,IIIISII,0.12380952380952381,0.17009
KIR2DL4,8,IIISIII,0.08571428571428572,0.072
KIR2DL4,8,IIISSII,0.13333333333333333,0.12718
KIR2DL4,8,IISIIII,0.06666666666666667,0.06619
KIR2DL4,8,IISISII,0.12380952380952381,0.0726
KIR2DL4,8,IISSSII,0.05714285714285714,0.05553
KIR2DL4,10,IIIIIII,0.4,0.40575
KIR2DL4,10,IIIIIIS,0.009523809523809525,0.00889
KIR2DL4,10,IIIISII,0.12380952380952381,0.14411
KIR2DL4,10,IIISIII,0.08571428571428572,0.08181
KIR2DL4,10,IIISSII,0.13333333333333333,0.1125
KIR2DL4,10,IISIIII,0.06666666666666667,0.06094
KIR2DL4,10,IISISII,0.12380952380952381,0.10397
KIR2DL4,10,IISSSII,0.05714285714285714,0.07841
KIR2DL4,12,IIIIIII,0.4,0.39867
KIR2DL4,12,IIIIIIS,0.009523809523809525,0.00573
KIR2DL4,12,IIIISII,0.12380952380952381,0.16248
KIR2DL4,12,IIISIII,0.08571428571428572,0.05676
KIR2DL4,12,IIISSII,0.13333333333333333,0.12772
KIR2DL4,12,IISIIII,0.06666666666666667,0.069
KIR2DL4,12,IISISII,0.12380952380952381,0.08221
KIR2DL4,12,IISSSII,0.05714285714285714,0.06574
KIR2DL4,14,IIIIIII,0.4,0.4016
KIR2DL4,14,IIIIIIS,0.009523809523809525,0.00847
KIR2DL4,14,IIIISII,0.12380952380952381,0.14624
KIR2DL4,14,IIISIII,0.08571428571428572,0.08421
KIR2DL4,14,IIISSII,0.13333333333333333,0.11215
KIR2DL4,14,IISIIII,0.06666666666666667,0.06574
KIR2DL4,14,IISISII,0.12380952380952381,0.102
KIR2DL4,14,IISSSII,0.05714285714285714,0.07787
KIR2DL4,16,IIIIIII,0.4,0.39948
KIR2DL4,16,IIIIIIS,0.009523809523809525,0.00811
KIR2DL4,16,IIIISII,0.12380952380952381,0.12492
KIR2DL4,16,IIISIII,0.08571428571428572,0.08423
KIR2DL4,16,IIISSII,0.13333333333333333,0.13384
KIR2DL4,16,IISIIII,0.06666666666666667,0.0679
KIR2DL4,16,IISISII,0.12380952380952381,0.12219
KIR2DL4,16,IISSSII,0.05714285714285714,0.05763
KIR2DL4,18,IIIIIII,0.4,0.40053
KIR2DL4,18,IIIIIIS,0.009523809523809525,0.00844
KIR2DL4,18,IIIISII,0.12380952380952381,0.12438
KIR2DL4,18,IIISIII,0.08571428571428572,0.08627
KIR2DL4,18,IIISSII,0.13333333333333333,0.13026
KIR2DL4,18,IISIIII,0.06666666666666667,0.06667
KIR2DL4,18,IISISII,0.12380952380952381,0.12529
KIR2DL4,18,IISSSII,0.05714285714285714,0.05681
KIR2DL4,20,IIIIIII,0.4,0.40182
KIR2DL4,20,IIIIIIS,0.009523809523809525,0.00779
KIR2DL4,20,IIIISII,0.12380952380952381,0.14523
KIR2DL4,20,IIISIII,0.08571428571428572,0.08422
KIR2DL4,20,IIISSII,0.13333333333333333,0.11096
KIR2DL4,20,IISIIII,0.06666666666666667,0.06633
KIR2DL4,20,IISISII,0.12380952380952381,0.10402
KIR2DL4,20,IISSSII,0.05714285714285714,0.07774
