KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DL5A,KIR2DL5B,KIR3DL1,KIR3DL2,KIR3DL3,KIR2DS1,KIR2DS2,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DS1
IIIIIIIII,,,IISSSII,,,IIISIIIII,IIIIIIIII,,,,,IIIIIIII,,
IIIIIIIII,,,IIISSII,,,IIIIIIIII,IIISIIIII,,,,,IIIIIIII,,
IIIIISIII,,,IIIIIII,,,IIISIIIII,IIIIIIIII,,,,,IIIIIIII,,
IIIIISIII,,,IIIISII,,,IIIIIIIII,IIISIIIII,,,,,IIIIIIII,,
IIIIIIIII,,,IIISSII,,,IIISIIIII,IIIIIIIII,,,,,IIIIIIII,,
,,,IISSSII,,,IIIIIIIII,IIIIISIII,,,,,IIIIIIII,,
,,,IIIIIII,,,IIISIIIII,IIIIIIIII,,,,,IIIISISS,,
,,,IIIISII,,,IIIIIIIII,IIISIIIII,,,,,IIIIIIII,,
,,,IISISII,,,IIIIIIIII,IIIIIIIII,,,,,,,
,,,IIIIIII,,,IIIIIIIII,IIIIISIII,,,,,,,
,,,IIISIII,,,IIIIIIIII,IIIIIIIII,,,,,,,
,,,IIISIII,,,IIIIIIIII,IIISIIIII,,,,,,,
,,,IIISSII,,,IIIIISIII,IIIIIIIII,,,,,,,
,,,IISISII,,,IISIIIIII,IIIIISIII,,,,,,,
,,,IISISII,,,IIIIIIIII,IIIIIIIII,,,,,,,
,,,IIISSII,,,IIIIISIII,IIIIISIII,,,,,,,
,,,IIIIIII,,,IISIIIIII,IIIIIIIII,,,,,,,
,,,IIIISII,,,IIIIIIIII,IIISIIIII,,,,,,,
,,,IIIIIII,,,IIIIISIII,IIIIIIIII,,,,,,,
,,,IIIISII,,,IISIIIIII,IIIIISIII,,,,,,,
,,,IIIIIII,,,IIIIIIIII,IIIIIIIII,,,,,,,
,,,IIISSII,,,IIIIISIII,IIIIIISII,,,,,,,
,,,IIIISII,,,,IIISIIIII,,,,,,,
,,,IISSSII,,,,IIIIIIIII,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIISII,,,,,,,,,,,
,,,IIIISII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IISSSII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIISII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IISISII,,,,,,,,,,,
,,,IIISSII,,,,,,,,,,,
,,,IIISIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIIIII,,,,,,,,,,,
,,,IIIISII,,,,,,,,,,,
,,,IIIISII,,,,,,,,,,,
